index,year,month,date_of_month,day_of_week,births
0,1994,1,1,6,8096
1,1994,1,2,7,7772
2,1994,1,3,1,10142
3,1994,1,4,2,11248
4,1994,1,5,3,11053
5,1994,1,6,4,11406
6,1994,1,7,5,11251
7,1994,1,8,6,8653
8,1994,1,9,7,7910
9,1994,1,10,1,10498
10,1994,1,11,2,11706
11,1994,1,12,3,11567
12,1994,1,13,4,11212
13,1994,1,14,5,11570
14,1994,1,15,6,8660
15,1994,1,16,7,8123
16,1994,1,17,1,10567
17,1994,1,18,2,11541
18,1994,1,19,3,11257
19,1994,1,20,4,11682
20,1994,1,21,5,11811
21,1994,1,22,6,8833
22,1994,1,23,7,8310
23,1994,1,24,1,11125
24,1994,1,25,2,11981
25,1994,1,26,3,11514
26,1994,1,27,4,11702
27,1994,1,28,5,11666
28,1994,1,29,6,8988
29,1994,1,30,7,8096
30,1994,1,31,1,10765
31,1994,2,1,2,11755
32,1994,2,2,3,11483
33,1994,2,3,4,11523
34,1994,2,4,5,11677
35,1994,2,5,6,8991
36,1994,2,6,7,8309
37,1994,2,7,1,10984
38,1994,2,8,2,12152
39,1994,2,9,3,11515
40,1994,2,10,4,11623
41,1994,2,11,5,11517
42,1994,2,12,6,8945
43,1994,2,13,7,8171
44,1994,2,14,1,11551
45,1994,2,15,2,12164
46,1994,2,16,3,12009
47,1994,2,17,4,11674
48,1994,2,18,5,11887
49,1994,2,19,6,8946
50,1994,2,20,7,8402
51,1994,2,21,1,10617
52,1994,2,22,2,11810
53,1994,2,23,3,11776
54,1994,2,24,4,11667
55,1994,2,25,5,11905
56,1994,2,26,6,8988
57,1994,2,27,7,8195
58,1994,2,28,1,11091
59,1994,3,1,2,12127
60,1994,3,2,3,11735
61,1994,3,3,4,11984
62,1994,3,4,5,12066
63,1994,3,5,6,9215
64,1994,3,6,7,8389
65,1994,3,7,1,10996
66,1994,3,8,2,12275
67,1994,3,9,3,11780
68,1994,3,10,4,11792
69,1994,3,11,5,11939
70,1994,3,12,6,9087
71,1994,3,13,7,8248
72,1994,3,14,1,11092
73,1994,3,15,2,12298
74,1994,3,16,3,11865
75,1994,3,17,4,11976
76,1994,3,18,5,11799
77,1994,3,19,6,8944
78,1994,3,20,7,8243
79,1994,3,21,1,11140
80,1994,3,22,2,11964
81,1994,3,23,3,11637
82,1994,3,24,4,11904
83,1994,3,25,5,11568
84,1994,3,26,6,8957
85,1994,3,27,7,8189
86,1994,3,28,1,11051
87,1994,3,29,2,12154
88,1994,3,30,3,11540
89,1994,3,31,4,11782
90,1994,4,1,5,10630
91,1994,4,2,6,8782
92,1994,4,3,7,7530
93,1994,4,4,1,10909
94,1994,4,5,2,11876
95,1994,4,6,3,11811
96,1994,4,7,4,11718
97,1994,4,8,5,11532
98,1994,4,9,6,8791
99,1994,4,10,7,8183
100,1994,4,11,1,11060
101,1994,4,12,2,12146
102,1994,4,13,3,11428
103,1994,4,14,4,11709
104,1994,4,15,5,11753
105,1994,4,16,6,8790
106,1994,4,17,7,7867
107,1994,4,18,1,11094
108,1994,4,19,2,11966
109,1994,4,20,3,11585
110,1994,4,21,4,11509
111,1994,4,22,5,11553
112,1994,4,23,6,8613
113,1994,4,24,7,8089
114,1994,4,25,1,10909
115,1994,4,26,2,12236
116,1994,4,27,3,11701
117,1994,4,28,4,11527
118,1994,4,29,5,11474
119,1994,4,30,6,8621
120,1994,5,1,7,8145
121,1994,5,2,1,11169
122,1994,5,3,2,12023
123,1994,5,4,3,11754
124,1994,5,5,4,11958
125,1994,5,6,5,11904
126,1994,5,7,6,8641
127,1994,5,8,7,8203
128,1994,5,9,1,10914
129,1994,5,10,2,11771
130,1994,5,11,3,11278
131,1994,5,12,4,11822
132,1994,5,13,5,11085
133,1994,5,14,6,8830
134,1994,5,15,7,8253
135,1994,5,16,1,11103
136,1994,5,17,2,12289
137,1994,5,18,3,11668
138,1994,5,19,4,11411
139,1994,5,20,5,11645
140,1994,5,21,6,8830
141,1994,5,22,7,8449
142,1994,5,23,1,11434
143,1994,5,24,2,12562
144,1994,5,25,3,12005
145,1994,5,26,4,11979
146,1994,5,27,5,12132
147,1994,5,28,6,8840
148,1994,5,29,7,8205
149,1994,5,30,1,8468
150,1994,5,31,2,11525
151,1994,6,1,3,12349
152,1994,6,2,4,12166
153,1994,6,3,5,11799
154,1994,6,4,6,9182
155,1994,6,5,7,8289
156,1994,6,6,1,11130
157,1994,6,7,2,12145
158,1994,6,8,3,11784
159,1994,6,9,4,11648
160,1994,6,10,5,12006
161,1994,6,11,6,8618
162,1994,6,12,7,8171
163,1994,6,13,1,10692
164,1994,6,14,2,12074
165,1994,6,15,3,11954
166,1994,6,16,4,11852
167,1994,6,17,5,11744
168,1994,6,18,6,8907
169,1994,6,19,7,8302
170,1994,6,20,1,11337
171,1994,6,21,2,12182
172,1994,6,22,3,12213
173,1994,6,23,4,11939
174,1994,6,24,5,11979
175,1994,6,25,6,9047
176,1994,6,26,7,8306
177,1994,6,27,1,11309
178,1994,6,28,2,12211
179,1994,6,29,3,12245
180,1994,6,30,4,12157
181,1994,7,1,5,12454
182,1994,7,2,6,9268
183,1994,7,3,7,8298
184,1994,7,4,1,8564
185,1994,7,5,2,11609
186,1994,7,6,3,13086
187,1994,7,7,4,13049
188,1994,7,8,5,12623
189,1994,7,9,6,9325
190,1994,7,10,7,8684
191,1994,7,11,1,11567
192,1994,7,12,2,12507
193,1994,7,13,3,12134
194,1994,7,14,4,12485
195,1994,7,15,5,12691
196,1994,7,16,6,9547
197,1994,7,17,7,8848
198,1994,7,18,1,11561
199,1994,7,19,2,12583
200,1994,7,20,3,12378
201,1994,7,21,4,12447
202,1994,7,22,5,12486
203,1994,7,23,6,9463
204,1994,7,24,7,8734
205,1994,7,25,1,11757
206,1994,7,26,2,12591
207,1994,7,27,3,12423
208,1994,7,28,4,12539
209,1994,7,29,5,12231
210,1994,7,30,6,9340
211,1994,7,31,7,8590
212,1994,8,1,1,11428
213,1994,8,2,2,12622
214,1994,8,3,3,12147
215,1994,8,4,4,12601
216,1994,8,5,5,12251
217,1994,8,6,6,9336
218,1994,8,7,7,8517
219,1994,8,8,1,11528
220,1994,8,9,2,12643
221,1994,8,10,3,12525
222,1994,8,11,4,12147
223,1994,8,12,5,12479
224,1994,8,13,6,9474
225,1994,8,14,7,8926
226,1994,8,15,1,11391
227,1994,8,16,2,12605
228,1994,8,17,3,12344
229,1994,8,18,4,12313
230,1994,8,19,5,12227
231,1994,8,20,6,9646
232,1994,8,21,7,8663
233,1994,8,22,1,11489
234,1994,8,23,2,12284
235,1994,8,24,3,12176
236,1994,8,25,4,12076
237,1994,8,26,5,12122
238,1994,8,27,6,9171
239,1994,8,28,7,8779
240,1994,8,29,1,11560
241,1994,8,30,2,12431
242,1994,8,31,3,12272
243,1994,9,1,4,12183
244,1994,9,2,5,12099
245,1994,9,3,6,9042
246,1994,9,4,7,8420
247,1994,9,5,1,8378
248,1994,9,6,2,11448
249,1994,9,7,3,12660
250,1994,9,8,4,12693
251,1994,9,9,5,12811
252,1994,9,10,6,9424
253,1994,9,11,7,8373
254,1994,9,12,1,11500
255,1994,9,13,2,12560
256,1994,9,14,3,12566
257,1994,9,15,4,12655
258,1994,9,16,5,12884
259,1994,9,17,6,9779
260,1994,9,18,7,8603
261,1994,9,19,1,11659
262,1994,9,20,2,12584
263,1994,9,21,3,12468
264,1994,9,22,4,12590
265,1994,9,23,5,12522
266,1994,9,24,6,9597
267,1994,9,25,7,8754
268,1994,9,26,1,11597
269,1994,9,27,2,12591
270,1994,9,28,3,12405
271,1994,9,29,4,12288
272,1994,9,30,5,12090
273,1994,10,1,6,9351
274,1994,10,2,7,8477
275,1994,10,3,1,11437
276,1994,10,4,2,12378
277,1994,10,5,3,12061
278,1994,10,6,4,12017
279,1994,10,7,5,12050
280,1994,10,8,6,8981
281,1994,10,9,7,8038
282,1994,10,10,1,11110
283,1994,10,11,2,12236
284,1994,10,12,3,11846
285,1994,10,13,4,11398
286,1994,10,14,5,11959
287,1994,10,15,6,9077
288,1994,10,16,7,8022
289,1994,10,17,1,11127
290,1994,10,18,2,11888
291,1994,10,19,3,11533
292,1994,10,20,4,11876
293,1994,10,21,5,11562
294,1994,10,22,6,9086
295,1994,10,23,7,7914
296,1994,10,24,1,11068
297,1994,10,25,2,12019
298,1994,10,26,3,11683
299,1994,10,27,4,11420
300,1994,10,28,5,11608
301,1994,10,29,6,8855
302,1994,10,30,7,8262
303,1994,10,31,1,9833
304,1994,11,1,2,12316
305,1994,11,2,3,11736
306,1994,11,3,4,11703
307,1994,11,4,5,11956
308,1994,11,5,6,8826
309,1994,11,6,7,8100
310,1994,11,7,1,11283
311,1994,11,8,2,11999
312,1994,11,9,3,11811
313,1994,11,10,4,11728
314,1994,11,11,5,11533
315,1994,11,12,6,8672
316,1994,11,13,7,8093
317,1994,11,14,1,11044
318,1994,11,15,2,11985
319,1994,11,16,3,11634
320,1994,11,17,4,11703
321,1994,11,18,5,11826
322,1994,11,19,6,8771
323,1994,11,20,7,8133
324,1994,11,21,1,11807
325,1994,11,22,2,12764
326,1994,11,23,3,11332
327,1994,11,24,4,8036
328,1994,11,25,5,9419
329,1994,11,26,6,8427
330,1994,11,27,7,7937
331,1994,11,28,1,11003
332,1994,11,29,2,12177
333,1994,11,30,3,11643
334,1994,12,1,4,11681
335,1994,12,2,5,11379
336,1994,12,3,6,8585
337,1994,12,4,7,7980
338,1994,12,5,1,10772
339,1994,12,6,2,11923
340,1994,12,7,3,11335
341,1994,12,8,4,11337
342,1994,12,9,5,11205
343,1994,12,10,6,8461
344,1994,12,11,7,7936
345,1994,12,12,1,11106
346,1994,12,13,2,11884
347,1994,12,14,3,11716
348,1994,12,15,4,11962
349,1994,12,16,5,12144
350,1994,12,17,6,8726
351,1994,12,18,7,8130
352,1994,12,19,1,11502
353,1994,12,20,2,12880
354,1994,12,21,3,12391
355,1994,12,22,4,11504
356,1994,12,23,5,10087
357,1994,12,24,6,7898
358,1994,12,25,7,7192
359,1994,12,26,1,8454
360,1994,12,27,2,11131
361,1994,12,28,3,12398
362,1994,12,29,4,12189
363,1994,12,30,5,12051
364,1994,12,31,6,8809
365,1995,1,1,7,7828
366,1995,1,2,1,7883
367,1995,1,3,2,9999
368,1995,1,4,3,11315
369,1995,1,5,4,11243
370,1995,1,6,5,11506
371,1995,1,7,6,8681
372,1995,1,8,7,7821
373,1995,1,9,1,10434
374,1995,1,10,2,11665
375,1995,1,11,3,11279
376,1995,1,12,4,11416
377,1995,1,13,5,11071
378,1995,1,14,6,8887
379,1995,1,15,7,7988
380,1995,1,16,1,10417
381,1995,1,17,2,11345
382,1995,1,18,3,11252
383,1995,1,19,4,11331
384,1995,1,20,5,11481
385,1995,1,21,6,8746
386,1995,1,22,7,7956
387,1995,1,23,1,10640
388,1995,1,24,2,11344
389,1995,1,25,3,11096
390,1995,1,26,4,11380
391,1995,1,27,5,11340
392,1995,1,28,6,8781
393,1995,1,29,7,8009
394,1995,1,30,1,10515
395,1995,1,31,2,11364
396,1995,2,1,3,11279
397,1995,2,2,4,11490
398,1995,2,3,5,11264
399,1995,2,4,6,8769
400,1995,2,5,7,8017
401,1995,2,6,1,10587
402,1995,2,7,2,11483
403,1995,2,8,3,11205
404,1995,2,9,4,11282
405,1995,2,10,5,11615
406,1995,2,11,6,8949
407,1995,2,12,7,8007
408,1995,2,13,1,10351
409,1995,2,14,2,12454
410,1995,2,15,3,11828
411,1995,2,16,4,11657
412,1995,2,17,5,11625
413,1995,2,18,6,8788
414,1995,2,19,7,8038
415,1995,2,20,1,10258
416,1995,2,21,2,11582
417,1995,2,22,3,11716
418,1995,2,23,4,11786
419,1995,2,24,5,11671
420,1995,2,25,6,8829
421,1995,2,26,7,8183
422,1995,2,27,1,10702
423,1995,2,28,2,11679
424,1995,3,1,3,11540
425,1995,3,2,4,11377
426,1995,3,3,5,11649
427,1995,3,4,6,8807
428,1995,3,5,7,7984
429,1995,3,6,1,10810
430,1995,3,7,2,12115
431,1995,3,8,3,11618
432,1995,3,9,4,11380
433,1995,3,10,5,11827
434,1995,3,11,6,8744
435,1995,3,12,7,7859
436,1995,3,13,1,10609
437,1995,3,14,2,11750
438,1995,3,15,3,11736
439,1995,3,16,4,11751
440,1995,3,17,5,11953
441,1995,3,18,6,8538
442,1995,3,19,7,7787
443,1995,3,20,1,10588
444,1995,3,21,2,11837
445,1995,3,22,3,11485
446,1995,3,23,4,11435
447,1995,3,24,5,11329
448,1995,3,25,6,8628
449,1995,3,26,7,7614
450,1995,3,27,1,10541
451,1995,3,28,2,11563
452,1995,3,29,3,11125
453,1995,3,30,4,11205
454,1995,3,31,5,11319
455,1995,4,1,6,8398
456,1995,4,2,7,7547
457,1995,4,3,1,10651
458,1995,4,4,2,11960
459,1995,4,5,3,11475
460,1995,4,6,4,11429
461,1995,4,7,5,11587
462,1995,4,8,6,8588
463,1995,4,9,7,7839
464,1995,4,10,1,10930
465,1995,4,11,2,11939
466,1995,4,12,3,11750
467,1995,4,13,4,11411
468,1995,4,14,5,10687
469,1995,4,15,6,8492
470,1995,4,16,7,7503
471,1995,4,17,1,10640
472,1995,4,18,2,11652
473,1995,4,19,3,11680
474,1995,4,20,4,11504
475,1995,4,21,5,11445
476,1995,4,22,6,8560
477,1995,4,23,7,7749
478,1995,4,24,1,11014
479,1995,4,25,2,11811
480,1995,4,26,3,11551
481,1995,4,27,4,11601
482,1995,4,28,5,11457
483,1995,4,29,6,8492
484,1995,4,30,7,7777
485,1995,5,1,1,11090
486,1995,5,2,2,12119
487,1995,5,3,3,11502
488,1995,5,4,4,11800
489,1995,5,5,5,11718
490,1995,5,6,6,8565
491,1995,5,7,7,7965
492,1995,5,8,1,10790
493,1995,5,9,2,11728
494,1995,5,10,3,11723
495,1995,5,11,4,11723
496,1995,5,12,5,11625
497,1995,5,13,6,8802
498,1995,5,14,7,8165
499,1995,5,15,1,11143
500,1995,5,16,2,12101
501,1995,5,17,3,12085
502,1995,5,18,4,11872
503,1995,5,19,5,11692
504,1995,5,20,6,8721
505,1995,5,21,7,8096
506,1995,5,22,1,11250
507,1995,5,23,2,12539
508,1995,5,24,3,12193
509,1995,5,25,4,12285
510,1995,5,26,5,12246
511,1995,5,27,6,8795
512,1995,5,28,7,8167
513,1995,5,29,1,8379
514,1995,5,30,2,11271
515,1995,5,31,3,12393
516,1995,6,1,4,12243
517,1995,6,2,5,11991
518,1995,6,3,6,9069
519,1995,6,4,7,8059
520,1995,6,5,1,11152
521,1995,6,6,2,12119
522,1995,6,7,3,11774
523,1995,6,8,4,12031
524,1995,6,9,5,11645
525,1995,6,10,6,8719
526,1995,6,11,7,8149
527,1995,6,12,1,11169
528,1995,6,13,2,11790
529,1995,6,14,3,11958
530,1995,6,15,4,11906
531,1995,6,16,5,11856
